economy,year,id_year,urbanpop
JPN,2013,JPN 2013,116262976
KAZ,2013,KAZ 2013,9718100
KEN,2013,KEN 2013,11105820
KGZ,2013,KGZ 2013,2031430
KHM,2013,KHM 2013,3212182
KIR,2013,KIR 2013,56573
KNA,2013,KNA 2013,14791
KOR,2013,KOR 2013,41240244
KWT,2013,KWT 2013,3646518
LAC,2013,LAC 2013,430842016
LAO,2013,LAO 2013,2103788
LBN,2013,LBN 2013,4985463
LBR,2013,LBR 2013,2168719
LBY,2013,LBY 2013,4713721
LCA,2013,LCA 2013,32118
LCN,2013,LCN 2013,483150473
LDC,2013,LDC 2013,281078448
LIC,2013,LIC 2013,180779519
LIE,2013,LIE 2013,5276
LKA,2013,LKA 2013,3746058
LMC,2013,LMC 2013,1193288207
LMY,2013,LMY 2013,2839238809
LSO,2013,LSO 2013,541319
LTE,2013,LTE 2013,1292827614
LTU,2013,LTU 2013,1981238
LUX,2013,LUX 2013,486709
LVA,2013,LVA 2013,1367090
MAC,2013,MAC 2013,593374
MAR,2013,MAR 2013,20180706
MCO,2013,MCO 2013,35425
MDA,2013,MDA 2013,1216084
MDG,2013,MDG 2013,7991167
MDV,2013,MDV 2013,151014
MEA,2013,MEA 2013,267522878
MEX,2013,MEX 2013,92306597
MHL,2013,MHL 2013,38486
MIC,2013,MIC 2013,2658459290
MKD,2013,MKD 2013,1180399
MLI,2013,MLI 2013,6529209
MLT,2013,MLT 2013,401597
MMR,2013,MMR 2013,14919480
MNA,2013,MNA 2013,216421809
MNE,2013,MNE 2013,404636
MNG,2013,MNG 2013,1937464
MNP,2013,MNP 2013,47547
MOZ,2013,MOZ 2013,8423977
MRT,2013,MRT 2013,1845503
MUS,2013,MUS 2013,518842
MWI,2013,MWI 2013,2558516
MYS,2013,MYS 2013,21977315
NAC,2013,NAC 2013,285498217
NAM,2013,NAM 2013,986650
NCL,2013,NCL 2013,180545
NER,2013,NER 2013,3023310
NGA,2013,NGA 2013,80580193
NIC,2013,NIC 2013,3518949
NLD,2013,NLD 2013,14987369
NOR,2013,NOR 2013,4078226
NPL,2013,NPL 2013,4878024
NRU,2013,NRU 2013,10694
NZL,2013,NZL 2013,3830023
OED,2013,OED 2013,1045970703
OMN,2013,OMN 2013,3010674
OSS,2013,OSS 2013,16705046
PAK,2013,PAK 2013,73126866
PAN,2013,PAN 2013,2524214
PER,2013,PER 2013,23126579
PHL,2013,PHL 2013,45765340
PLW,2013,PLW 2013,13685
PNG,2013,PNG 2013,1070117
POL,2013,POL 2013,23025350
PRE,2013,PRE 2013,312300609
PRI,2013,PRI 2013,3366210
PRK,2013,PRK 2013,15230608
PRT,2013,PRT 2013,6520333
PRY,2013,PRY 2013,3615222
PSE,2013,PSE 2013,3051946
PSS,2013,PSS 2013,894479
PST,2013,PST 2013,874169758
PYF,2013,PYF 2013,177379
QAT,2013,QAT 2013,2010770
ROU,2013,ROU 2013,10778604
RUS,2013,RUS 2013,105998572
RWA,2013,RWA 2013,1881346
SAS,2013,SAS 2013,553524624
SAU,2013,SAU 2013,26048619
SDN,2013,SDN 2013,12059405
SEN,2013,SEN 2013,6120588
SGP,2013,SGP 2013,5399162
SLB,2013,SLB 2013,124818
SLE,2013,SLE 2013,2788451
SLV,2013,SLV 2013,4208463
SMR,2013,SMR 2013,32077
SOM,2013,SOM 2013,5413081
SRB,2013,SRB 2013,3973872
SSA,2013,SSA 2013,358703042
SSD,2013,SSD 2013,2045176
SSF,2013,SSF 2013,358752097
SST,2013,SST 2013,21222571
STP,2013,STP 2013,132158
SUR,2013,SUR 2013,372995
SVK,2013,SVK 2013,2930811
SVN,2013,SVN 2013,1098614
SWE,2013,SWE 2013,8250182
SWZ,2013,SWZ 2013,257202
SXM,2013,SXM 2013,36607
SYC,2013,SYC 2013,49055
SYR,2013,SYR 2013,11291540
TCA,2013,TCA 2013,30733
TCD,2013,TCD 2013,2940466
TEA,2013,TEA 2013,1007911742
TEC,2013,TEC 2013,292744000
TGO,2013,TGO 2013,2775764
THA,2013,THA 2013,32140444
TJK,2013,TJK 2013,2163443
TKM,2013,TKM 2013,2754527
TLA,2013,TLA 2013,470257313
TLS,2013,TLS 2013,334284
TMN,2013,TMN 2013,213369863
TON,2013,TON 2013,25040
TSA,2013,TSA 2013,553524624
TSS,2013,TSS 2013,358752097
TTO,2013,TTO 2013,771222
TUN,2013,TUN 2013,7627127
TUR,2013,TUR 2013,55541423
TUV,2013,TUV 2013,6312
TZA,2013,TZA 2013,14872630
UGA,2013,UGA 2013,7392635
UKR,2013,UKR 2013,31330995
UMC,2013,UMC 2013,1465171083
URY,2013,URY 2013,3206813
USA,2013,USA 2013,256953576
UZB,2013,UZB 2013,15408910
VCT,2013,VCT 2013,53890
VEN,2013,VEN 2013,26297143
VGB,2013,VGB 2013,13141
VIR,2013,VIR 2013,102715
VNM,2013,VNM 2013,29272925
VUT,2013,VUT 2013,65254
WLD,2013,WLD 2013,3824116789
WSM,2013,WSM 2013,38758
YEM,2013,YEM 2013,9055561
